From, To, Relation, Label
Frankenstein_Narrator,Mother,3,3
Frankenstein_Narrator,Victor,72,72
Frankenstein_Narrator,Father,15,15
Frankenstein_Narrator,M.Krempe,7,7
Frankenstein_Narrator,M.Waldman,5,5
Frankenstein_Narrator,Clerval,26,26
Frankenstein_Narrator,Elizabeth,30,30
Frankenstein_Narrator,Ernest,8,8
Frankenstein_Narrator,Justine,13,13
Frankenstein_Narrator,Monster,18,18
Frankenstein_Narrator,Irish_Man,5,5
Frankenstein_Narrator,Nurse,2,2
Frankenstein_Narrator,Kirwin,5,5
Frankenstein_Narrator,Magistrate,5,5
Monster_Narrator,Monster,23,23
Monster_Narrator,Felix,3,3
Monster_Narrator,De_Lacey,14,14
Monster_Narrator,William,4,4
Walton_Narrator,Victor,11,11
Walton_Narrator,Walton,7,7
Walton_Narrator,Monster,9,9
